"Comment","Designator","Footprint","JLCPCB Part #(optional)"
"100n","C7,C1","0603","C14663"
"32MHz","Y1","OSC-SMD","C252277"
"XC6206P332MR","U2","SOT-23-3L","C5446"
"STM32G030F6P6","U1","TSSOP-20","C529330"
"Reset","SW1","SW-SMD-3.6x6.1_2P","C520860"
330,"R4","0402","C25104"
330,"R3","0603","C23138"
"10k","R2,R1","0603","C25804"
"Conn_ARM_JTAG_SWD_10","J2","HDR-SMD","C150517"
"USB_B_Micro","J1","SMD","C404969"
100,"FB2,FB1","0805","C1015"
"Power","D2","LED_0805","C84256"
"User","D1","LED_0805","C84256"
"12p","C6,C5","0402","C1547"
"4.7u","C4","0603","C19666"
"1u","C3,C2","0603","C15849"
