Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","100n","C_0603_1608Metric",107.696000,-96.774000,0.000000,top
"C2","1u","C_0603_1608Metric",116.840000,-72.390000,180.000000,top
"C3","1u","C_0603_1608Metric",116.332000,-77.724000,180.000000,top
"C4","4.7u","C_0603_1608Metric",116.332000,-79.248000,180.000000,top
"C5","12p","C_0402_1005Metric",115.570000,-80.899000,0.000000,top
"C6","12p","C_0402_1005Metric",113.919000,-82.677000,90.000000,top
"C7","100n","C_0603_1608Metric",115.443000,-87.122000,270.000000,top
"D1","User","LED_0805_2012Metric",114.046000,-91.440000,90.000000,top
"D2","Power","LED_0805_2012Metric",116.332000,-91.440000,90.000000,top
"FB1","100","L_0805_2012Metric",119.443500,-77.470000,270.000000,top
"FB2","100","L_0805_2012Metric",119.443500,-73.660000,90.000000,top
"J2","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD",109.474000,-80.759300,90.000000,top
"R1","10k","R_0603_1608Metric",113.919000,-87.122000,270.000000,top
"R2","10k","R_0603_1608Metric",116.967000,-87.122000,270.000000,top
"R3","330","R_0603_1608Metric",107.696000,-93.726000,0.000000,top
"R4","330","R_0402_1005Metric",114.425000,-84.582000,0.000000,top
"SW1","Reset","button_ts_1092s_b3d2_g",112.776000,-95.250000,0.000000,top
"U1","STM32G030F6P6","STMicroelectronics-TSSOP20-YA-0-3-IPC_B",109.220000,-88.900000,270.000000,top
"U2","XC6206P332MR","SOT-23",116.840000,-74.930000,0.000000,top
"Y1","32MHz","osc_ssd_7F32000E12UCG",116.078000,-83.566000,90.000000,top
"J1","USB_B_Micro","SHOUHAN_MICROXNJ",110.490000,-71.120000,0.000000,top
